Sigma,RMSE_LSQ,RMSE_L2Norm,RMSE_L1Norm
0.1,0.024878324033547457,0.04866062906919484,0.029232472109636948
0.2,0.025371548948967843,0.10757376233791613,0.029535423440532994
0.30000000000000004,0.02804138345380984,0.07030206966713229,0.03179159543695576
0.4,0.036235818046212676,0.10315871001343009,0.0397155108903897
0.5,0.0314585760775385,0.05798470902921498,0.03548396773359022
0.6,0.03385384278095849,0.046004908605534064,0.03811108057584955
0.7000000000000001,0.031246029806729834,0.03520063578860248,0.03492042833124247
0.8,0.054738839866058465,0.05964137312812518,0.058719231116431694
0.9,0.03837829945303648,0.07604995875568442,0.04141962526819576
1.0,0.06536915797430598,0.13502096859439341,0.06853118543061182
1.1,0.03648985542507518,0.043310525711675964,0.04071502188054808
1.2000000000000002,0.0370032736436341,0.13772783728489965,0.04063588115851545
1.3000000000000003,0.0391244036888193,0.10999353510963031,0.042712616275570506
1.4000000000000001,0.04675642959445601,0.08956542480562545,0.05189366774274005
1.5000000000000002,0.07359304914253648,0.12956853491874798,0.07814070384393196
1.6,0.038546868848811346,0.05608192249293475,0.04200464870554514
1.7000000000000002,0.06381806989246448,0.08883089607313013,0.06823515045152208
1.8000000000000003,0.05710638030292044,0.06066761145082108,0.06102371055234725
1.9000000000000001,0.05002757793860319,0.07148412984653232,0.05392389349975622
2.0,0.0715075546325713,0.0795712208007841,0.07511165907054854
