lambda,value
0.01,6.696758982988352
0.012648552168552958,6.695943127410875
0.015998587196060583,6.694931249123573
0.020235896477251575,6.69360628926447
0.025595479226995357,6.69199559526665
0.032374575428176434,6.689994086174011
0.040949150623804255,6.687500266214121
0.05179474679231213,6.68467647626458
0.0655128556859551,6.680861461083086
0.08286427728546843,6.676565214797638
0.10481131341546858,6.671402128842221
0.13257113655901095,6.665358139752045
0.16768329368110083,6.65844291609176
0.21209508879201905,6.6507312610303195
0.2682695795279726,6.642147063384357
0.33932217718953295,6.633027248353866
0.42919342601287785,6.623586357644755
0.5428675439323859,6.614219603769134
0.6866488450043002,6.605069490721037
0.8685113737513529,6.596654638757828
1.0985411419875584,6.588971986415066
1.3894954943731375,6.582385482350766
1.757510624854793,6.576858852069823
2.2229964825261956,6.57238993966772
2.8117686979742307,6.568893355472613
3.5564803062231287,6.566229184464519
4.498432668969444,6.564239529631367
5.689866029018299,6.5627940401293445
7.196856730011521,6.5617567309981615
9.102981779915218,6.561019215514156
11.513953993264481,6.56049880058686
14.563484775012444,6.560131392733157
18.420699693267164,6.5598728460237385
23.29951810515372,6.55969105967297
29.4705170255181,6.5595622831810605
37.27593720314942,6.559470514663898
47.14866363457394,6.559404034129538
59.63623316594643,6.5593557952182175
75.43120063354623,6.559320192682653
95.40954763499944,6.559294055817294
120.67926406393289,6.55927412678562
152.64179671752333,6.559259356641947
193.06977288832496,6.559247999840532
244.205309454865,6.559239273121523
308.8843596477485,6.5592326892415
390.6939937054621,6.55922736437083
494.17133613238383,6.559223335404029
625.0551925273976,6.559220175142128
790.6043210907702,6.559217673336952
1000.0,6.55921572520802
