lambda,value
5,0.07472950165226609
10,0.08114859383249151
15,0.08352327600830703
20,0.08466754938266714
25,0.085461930797985
30,0.08598523826812632
35,0.08636505777413774
40,0.0866873793127966
45,0.08690254339087689
50,0.08702001081820167
55,0.08717869210770901
60,0.08732168477720978
65,0.0874660694321761
70,0.08765724373792187
75,0.08752618134604476
80,0.08747901148169276
85,0.08756103087227624
90,0.0877094456716286
95,0.08793487991798103
100,0.08788843953289166
