Lambda,LErrors,SErrors
1,20.34012138569245,20.34012138569245,40.6802427713849
2,11.469115696793814,11.469115696793814,22.93823139358763
3,7.416800254226032,7.416800254226032,14.833600508452063
4,5.687017464030272,5.687017464030273,11.374034928060546
5,5.176317915912431,5.176317915912431,10.352635831824863
6,5.067993439848181,5.067993439848181,10.135986879696363
7,5.22828145403478,5.22828145403478,10.45656290806956
8,5.460427664164873,5.4604276641648735,10.920855328329747
9,5.833609026451321,5.833609026451321,11.667218052902642
10,6.354487060028306,6.354487060028306,12.708974120056611
