lambda,Coordinate1,Coordinate2,Coordinate3,Coordinate4,Coordinate5,Coordinate6,Coordinate7,Coordinate8,Coordinate9,Coordinate10
5,0.0008710923556249969,-0.003110390032457719,-0.001385795313230828,0.006890408109836535,0.00927987779190945,0.0075801049991491756,0.0009600124347032026,0.0032691702152828294,-0.001097964855874243,0.0026757630396981574
10,0.000461841270803993,-0.001783242104021511,-0.0007741111337612645,0.003678828814372709,0.005021337926490493,0.004112908001861778,0.0005619061249828941,0.0018735010988750523,-0.0006199753147554512,0.0014087946978129518
15,0.00031394483146274834,-0.0012483721579693043,-0.0005362165134372969,0.0025078787598624645,0.0034403648809967625,0.0028213513216306684,0.00039595105484843565,0.0013111405032613347,-0.000432112326589158,0.0009551733960058912
20,0.00023748030733773085,-0.0009591089193681114,-0.0004096078915131263,0.0019000108411401221,0.002613434055863871,0.00214464481624943,0.00030518537305112127,0.001007132567798736,-0.0003312986525317964,0.0007215443776457502
25,0.00019125652699278033,-0.0007787031077932963,-0.0003315795440438195,0.0015314448596523789,0.002109428358656599,0.0017316471470114128,0.0002481921284251781,0.0008176117250791945,-0.00026868767128803415,0.0005806801799650305
30,0.00016003983919602637,-0.0006555037821685346,-0.00027851508756433964,0.001282263900258354,0.0017680359180807684,0.0014517682997967187,0.00020917910718609115,0.0006882062077434595,-0.00022599728744848678,0.00048564071630389697
35,0.00013754267073070616,-0.000566321873443823,-0.00024013970044496697,0.0011026158515820954,0.0015216965459056953,0.0012497937620327977,0.00018089953059132865,0.0005945275940339051,-0.0001951321893620679,0.0004171816894266526
40,0.00012067772211164112,-0.000498378570988529,-0.00021111087317050858,0.0009677114546808116,0.0013362310263018507,0.0010976044147141307,0.00015929806696538137,0.0005231851503539738,-0.00017164559535731027,0.00036592542505612183
45,0.0001074357090448707,-0.0004449218376669256,-0.0001882719955146483,0.0008617723816668986,0.0011905195982142124,0.0009780361097793168,0.00014228739637629567,0.0004670495170958338,-0.0001531834304237235,0.0003256914178339774
50,9.675958738745554e-05,-0.00040149071075853336,-0.00016975418850114732,0.0007763007431568852,0.0010727893884950742,0.0008814052581779803,0.00012843841202912678,0.000421441156686611,-0.00013820901980455698,0.0002932801861750967
55,8.807029596592621e-05,-0.0003660951087833748,-0.00015468771742371197,0.0007067185859674194,0.0009769407742037705,0.0008027190825138563,0.00011715710574445909,0.00038427816538175077,-0.00012599486696064952,0.00026689875372299385
60,8.082063588112292e-05,-0.0003364891614682538,-0.00014209861724656447,0.0006486494806990785,0.0008969174542004369,0.0007370164578569138,0.00010771684448353553,0.0003531953856203572,-0.00011578095580317977,0.0002448927070627962
65,7.469429589237412e-05,-0.0003113873225284175,-0.00013143364072239986,0.0005995628561540077,0.0008292297107778419,0.0006814364794697295,9.970552134082897e-05,0.00032684101930724897,-0.00010712773076341284,0.00022630319625417596
70,6.9489457996751e-05,-0.0002899504066939725,-0.0001223455693689975,0.0005578365634611715,0.0007716420125623234,0.000634137550604823,9.285796329766442e-05,0.00030433685276404926,-9.974100191764358e-05,0.00021051646830898992
75,6.47339069532457e-05,-0.0002704282820660687,-0.0001140593103439532,0.0005197249716435502,0.0007190731975997623,0.0005909670000777615,8.662614459836279e-05,0.0002838419583338689,-9.301116871791604e-05,0.00019608818023542717
80,6.063876060192935e-05,-0.00025352566663336293,-0.00010689713848477304,0.0004868883294566692,0.0006737355846579832,0.00055372731837567,8.122375121431805e-05,0.00026609759930201337,-8.718994605522843e-05,0.00018367025362919117
85,5.71111708981968e-05,-0.00023895170414327022,-0.00010072442732029276,0.00045859959056578157,0.0006346713200887357,0.0005216387607660935,7.656502786598352e-05,0.0002507982565721156,-8.217089732116733e-05,0.00017297412858583808
90,5.4017715074418706e-05,-0.0002261576840963212,-9.530799898950965e-05,0.0004337894473623866,0.0006004045891909387,0.0004934895404919231,7.247455305425392e-05,0.00023736773534177837,-7.776522845047804e-05,0.00016359518428972846
95,5.12998377108065e-05,-0.00021485752506633903,-9.053246148478873e-05,0.00041197987037975376,0.0005702536182708221,0.00046871604618859954,6.885759143219099e-05,0.00022550592379456033,-7.387715480684863e-05,0.00015535915045643866
100,4.869710806549218e-05,-0.00020410506669543162,-8.597858251741872e-05,0.000391107816785236,0.000541431713108952,0.0004450407033119566,6.542064345542017e-05,0.0002142184061114547,-7.01739028495251e-05,0.00014746715720147626
