lambda,value
5,43.07993369801319
10,43.04395287666099
15,43.034829695296814
20,43.03099628622522
25,43.028978176034194
30,43.02775128017398
35,43.02693696932925
40,43.02636193279297
45,43.02593398637668
50,43.025603181742945
55,43.02534401045435
60,43.02513455070843
65,43.0249622592436
70,43.02481914005292
75,43.024691470652165
80,43.02458346743086
85,43.02449204192526
90,43.02441308606799
95,43.02434451478284
100,43.024279900203595
